Term,Duration,Duration between return of the writs and dissolution,Number of Sessions,Number of Speeches from the Throne,Budgets or Economic Statements,Date of First Budget,Days between election and first budget,Days between start of parliament and first budget,Senate Nominations,Senators appointed by Prime Minister,Government Type,Government Party,Prime Minister,Leader(s) of the Official Opposition,Official Opposition Party,Election Writs issued,General Election Date,By-Elections,Return of the Writs
1918-03-18 - 1921-10-04,"1296 days (3 years, 6 months, 17 days)","1298 days (3 years, 6 months, 19 days)",5,5,4,1918-04-30,134,43,27,"Robert Laird Borden (12)
Arthur Meighen (15)",Majority,Unionist,"Borden, Robert Laird (1917-12-17 - 1920-07-09)
Meighen, Arthur (1920-07-10 - 1921-12-28)","Laurier, Wilfrid (1911-10-10 - 1919-02-17)
McKenzie, Daniel Duncan (1919-02-17 - 1919-08-07)
King, William Lyon Mackenzie (1919-08-07 - 1921-12-28)","Opposition (1911-10-10 - 1919-08-07)
Liberal Party of Canada (1919-08-07 - 1921-12-28)",1917-10-31,1917-12-17,21,1918-03-16
Parliament: 12,,,,,,,,,,,,,,,,,,,
1911-11-15 - 1917-10-06,"2152 days (5 years, 10 months, 22 days)","2191 days (5 years, 11 months, 30 days)",7,7,7,1912-03-13,174,119,49,Robert Laird Borden (49),Majority,Conservative (1867-1942),"Borden, Robert Laird","Laurier, Wilfrid",Opposition,1911-08-03,1911-09-21,40,1911-10-07
Parliament: 11,,,,,,,,,,,,,,,,,,,
1909-01-20 - 1911-07-29,"920 days (2 years, 6 months, 7 days)","968 days (2 years, 7 months, 25 days)",3,3,3,1909-04-20,176,90,10,Wilfrid Laurier (10),Majority,Liberal Party of Canada,"Laurier, Wilfrid","Borden, Robert Laird",Conservative (1867-1942),1908-09-18,1908-10-26,12,1908-12-03
Parliament: 10,,,,,,,,,,,,,,,,,,,
1905-01-11 - 1908-09-17,"1345 days (3 years, 8 months, 6 days)","1372 days (3 years, 9 months, 2 days)",4,4,4,1905-07-06,245,176,16,Wilfrid Laurier (16),Majority,Liberal Party of Canada,"Laurier, Wilfrid","Borden, Robert Laird",Conservative (1867-1942),1904-09-29,1904-11-03,46,1904-12-15
Parliament: 9,,,,,,,,,,,,,,,,,,,
1901-02-06 - 1904-09-29,"1331 days (3 years, 7 months, 22 days)","1394 days (3 years, 9 months, 24 days)",4,4,4,1901-03-14,127,36,32,Wilfrid Laurier (32),Majority,Liberal Party of Canada,"Laurier, Wilfrid","Borden, Robert Laird",Conservative (1867-1942),1900-10-09,1900-11-07,43,1900-12-05
Parliament: 8,,,,,,,,,,,,,,,,,,,
1896-08-19 - 1900-10-09,"1511 days (4 years, 1 months, 20 days)","1548 days (4 years, 2 months, 26 days)",5,5,4,1897-04-22,303,246,23,Wilfrid Laurier (23),Majority,Liberal Party of Canada,"Laurier, Wilfrid","Tupper, Charles",Conservative (1867-1942),1896-04-24,1896-06-23,48,1896-07-13
Parliament: 7,,,,,,,,,,,,,,,,,,,
1891-04-29 - 1896-04-24,"1822 days (4 years, 11 months, 26 days)","1826 days (4 years, 11 months, 30 days)",6,6,6,1891-06-23,110,55,28,"John Alexander Macdonald (4)
John Joseph Caldwell Abbott (6)
John Sparrow David Thompson (5)
Mackenzie Bowell (13)",Minority,"Liberal-Conservative (1878-10-17 - 1894-12-12)
Conservative (1867-1942) (1894-12-21 - 1896-04-27)","Macdonald, John Alexander (1878-10-17 - 1891-06-06)
Abbott, John Joseph Caldwell (1891-06-16 - 1892-11-24)
Thompson, John Sparrow David (1892-12-05 - 1894-12-12)
Bowell, Mackenzie (1894-12-21 - 1896-04-27)","Laurier, Wilfrid",Liberal Party of Canada,1891-02-04,1891-03-05,83,1891-04-25
Parliament: 6,,,,,,,,,,,,,,,,,,,
1887-04-13 - 1891-02-03,"1392 days (3 years, 9 months, 22 days)","1398 days (3 years, 9 months, 28 days)",4,4,4,1887-05-12,79,29,19,John Alexander Macdonald (19),Minority,Liberal-Conservative,"Macdonald, John Alexander","Blake, Edward (1880-05-04 - 1887-06-02)
Laurier, Wilfrid (1887-06-23 - 1896-07-10)",Liberal Party of Canada,1887-01-17,1887-02-22,55,1887-04-07
Parliament: 5,,,,,,,,,,,,,,,,,,,
1883-02-08 - 1887-01-15,"1437 days (3 years, 11 months, 6 days)","1622 days (4 years, 5 months, 9 days)",4,4,4,1883-03-30,283,50,22,John Alexander Macdonald (22),Minority,Liberal-Conservative,"Macdonald, John Alexander","Blake, Edward",Liberal Party of Canada,1882-05-18,1882-06-20,40,1882-08-07
Parliament: 4,,,,,,,,,,,,,,,,,,,
1879-02-13 - 1882-05-18,"1190 days (3 years, 3 months, 3 days)","1274 days (3 years, 5 months, 26 days)",4,4,4,1879-03-14,178,29,15,John Alexander Macdonald (15),Minority,Liberal-Conservative,"Macdonald, John Alexander","Mackenzie, Alexander (1878-10-17 - 1880-04-27)
Blake, Edward (1880-05-04 - 1887-06-02)",Liberal Party of Canada,1878-08-17,1878-09-17,47,1878-11-21
Parliament: 3,,,,,,,,,,,,,,,,,,,
1874-03-26 - 1878-08-17,"1605 days (4 years, 4 months, 22 days)","1638 days (4 years, 5 months, 25 days)",5,5,5,1874-04-14,82,19,15,Alexander Mackenzie (15),Majority,Liberal Party of Canada,"Mackenzie, Alexander","Macdonald, John Alexander",Liberal-Conservative,1874-01-02,1874-01-22,89,1874-02-21
Parliament: 2,,,,,,,,,,,,,,,,,,,
1873-03-05 - 1874-01-02,"303 days (9 months, 29 days)","486 days (1 years, 3 months, 30 days)",2,2,1,1873-04-01,255,27,13,"John Alexander Macdonald (12)
Alexander Mackenzie (1)",Minority,"Liberal-Conservative (1867-07-01 - 1873-11-05)
Liberal Party of Canada (1873-11-07 - 1878-10-08)","Macdonald, John Alexander (1867-07-01 - 1873-11-05)
Mackenzie, Alexander (1873-11-07 - 1878-10-08)","Mackenzie, Alexander (1873-03-05 - 1873-11-07)
Macdonald, John Alexander (1873-11-06 - 1878-10-16)","Liberal Party of Canada (1873-03-05 - 1873-11-07)
Liberal-Conservative (1873-11-06 - 1878-10-16)",1872-07-15,1872-10-12,27,1872-09-03
Parliament: 1,,,,,,,,,,,,,,,,,,,
1867-11-06 - 1872-07-08,"1706 days (4 years, 8 months, 2 days)","1749 days (4 years, 9 months, 14 days)",5,5,6,1867-12-07,122,31,92,"John Alexander Macdonald (20)
Royal Proclamation (72)",Minority,Liberal-Conservative,"Macdonald, John Alexander",,,1867-08-06,1867-09-20,46,1867-09-24
